Wall time,Step,Value
1741003015.373566,0,0.03433575481176376
1741003016.0414207,1,0.010720976628363132
1741003016.0612886,2,0.005924162920564413
1741003016.079788,3,0.004259181208908558
1741003016.0984323,4,0.0037126115057617426
1741003016.116697,5,0.002690663328394294
1741003016.135159,6,0.0034276386722922325
1741003016.153255,7,0.0027693756856024265
1741003016.1711879,8,0.001955232350155711
1741003016.1890736,9,0.0030515044927597046
1741003016.6650426,10,0.0020893665496259928
1741003016.7181118,11,0.0023262700997292995
1741003016.7678099,12,0.0016267468454316258
1741003016.8205545,13,0.002103212522342801
1741003016.8732874,14,0.003494305070489645
1741003016.9172068,15,0.002380508230999112
1741003016.951187,16,0.002253612270578742
1741003016.9819865,17,0.0015906525077298284
1741003017.0150237,18,0.0024756125640124083
1741003017.4871557,19,0.0017078348901122808
1741003017.5230906,20,0.0009063204634003341
1741003017.5438666,21,0.0009562638588249683
1741003017.5637114,22,0.0007231930503621697
1741003017.582969,23,0.0016367965145036578
1741003017.6022573,24,0.0017306017689406872
1741003017.6211755,25,0.0015852277865633368
1741003017.6399102,26,0.0015860586427152157
1741003017.6589136,27,0.0017810557037591934
1741003018.123248,28,0.0012768302112817764
1741003018.149473,29,0.0007247334579005837
1741003018.1777873,30,0.0010299012064933777
1741003018.2084188,31,0.0007645314908586442
1741003018.2403724,32,0.0026793526485562325
1741003018.2729938,33,0.001026627724058926
1741003018.3054554,34,0.0006228447309695184
1741003018.337377,35,0.00045941679854877293
1741003018.3681958,36,0.00021341550746001303
1741003018.8935955,37,0.00014586122415494174
1741003018.9378595,38,3.525884676491842e-05
1741003018.9742618,39,0.00016099443018902093
1741003019.010397,40,0.0005693832645192742
1741003019.0549471,41,0.0006988210370764136
1741003019.0994537,42,0.0020852324087172747
1741003019.1505303,43,0.0014852839522063732
1741003019.1914117,44,0.0010431683622300625
1741003019.2360654,45,0.0004020962805952877
1741003019.7273843,46,0.0004835590079892427
1741003019.7614815,47,0.00017836608458310366
1741003019.7949007,48,0.00010162213584408164
1741003019.827556,49,9.518447768641636e-05
1741003019.8724782,50,0.0001052980514941737
1741003019.920477,51,3.426942930673249e-05
1741003019.975116,52,1.7156808098661713e-05
1741003020.0191402,53,2.7930736905545928e-05
1741003020.0479438,54,2.2601199816563167e-05
1741003020.5619993,55,6.2604907725472e-05
1741003020.5875194,56,0.00011314295988995582
1741003020.613094,57,2.9072178222122602e-05
1741003020.6409428,58,1.9064142179558985e-05
1741003020.6705706,59,1.914849599415902e-05
1741003020.701397,60,2.7025922463508323e-05
1741003020.7359495,61,1.2807967323169578e-05
1741003020.7803035,62,5.001121826353483e-05
1741003020.8254006,63,1.1828286005766131e-05
1741003021.2610958,64,3.9017468225210905e-05
1741003021.2871816,65,6.263260002015159e-05
1741003021.312447,66,3.053094769711606e-05
1741003021.3535647,67,2.1017827748437412e-05
1741003021.3891628,68,1.565648017276544e-05
1741003021.4231653,69,1.539491677249316e-05
1741003021.4557014,70,2.1468635168275796e-05
1741003021.487533,71,1.2014409549010452e-05
1741003021.5332987,72,7.97862303443253e-05
1741003021.9987826,73,3.1432595278602093e-05
1741003022.034702,74,6.353863864205778e-05
1741003022.0661597,75,1.3194308849051595e-05
1741003022.098031,76,2.2875950890011154e-05
1741003022.1302927,77,2.4983195544336922e-05
1741003022.1628673,78,1.735749901854433e-05
1741003022.1946094,79,2.3096356017049402e-05
1741003022.2263508,80,2.131958353857044e-05
1741003022.2730613,81,6.590676093765069e-06
1741003022.725261,82,1.2327716831350699e-05
1741003022.7562723,83,8.418930519837886e-06
1741003022.7865882,84,6.011349341861205e-06
1741003022.8169084,85,3.8091537135187536e-05
1741003022.8509715,86,4.391539732750971e-06
1741003022.8928118,87,1.68107380886795e-05
1741003022.9484096,88,6.0432021200540476e-06
1741003022.9968276,89,5.0861153795267455e-06
1741003023.033939,90,1.6176551071112044e-05
1741003023.534863,91,5.779190814791946e-06
1741003023.5633366,92,1.0803277291415725e-05
1741003023.6048012,93,5.777744718216127e-06
1741003023.6459343,94,1.2957582839590032e-05
1741003023.690146,95,8.840124792186543e-06
1741003023.7300065,96,1.538881588203367e-05
1741003023.7716403,97,4.287496722099604e-06
1741003023.8084953,98,4.495381745073246e-06
1741003023.8584442,99,5.1246388466097414e-06
1741003024.3306856,100,1.0396076504548546e-05
1741003024.3619063,101,7.566454314655857e-06
1741003024.3938673,102,7.212292075564619e-06
1741003024.4267743,103,7.6189949140825775e-06
1741003024.459903,104,6.1652363001485355e-06
1741003024.489923,105,7.114959771570284e-06
1741003024.5177877,106,4.197712314635282e-06
1741003024.5443776,107,1.3508209121937398e-05
1741003024.5700648,108,9.519057130091824e-06
1741003025.1348622,109,4.349506070866482e-06
1741003025.1786375,110,3.876783466694178e-06
1741003025.2125041,111,1.1492526027723216e-05
1741003025.2481787,112,7.870263289078139e-06
1741003025.2845514,113,3.7353088373492938e-06
1741003025.3169198,114,1.0810401363414712e-05
1741003025.355513,115,6.13497759331949e-05
1741003025.3944607,116,3.920612925867317e-06
1741003025.435685,117,4.189253104414092e-06
1741003025.8899236,118,1.615546534594614e-05
1741003025.9165354,119,8.804859680822119e-05
1741003025.9418833,120,7.400397862511454e-06
1741003025.9800782,121,6.285959898377769e-06
1741003026.015674,122,4.036933660245268e-06
1741003026.053559,123,5.675283773598494e-06
1741003026.1023388,124,3.3996011552517302e-06
1741003026.1542845,125,7.5834113886230625e-06
1741003026.2089062,126,4.944817646901356e-06
1741003026.7239234,127,4.451219865586609e-06
1741003026.7524047,128,5.777810656582005e-06
1741003026.7831385,129,3.6944813928130316e-06
1741003026.8124,130,3.7493055060622282e-06
1741003026.8512003,131,1.0756481060525402e-05
1741003026.8754153,132,6.894411853863858e-06
1741003026.8943834,133,8.37311745272018e-06
1741003026.9125473,134,3.5986281545774546e-06
1741003026.9300942,135,8.232476830016822e-06
1741003027.3573515,136,7.032538633211516e-06
1741003027.3902721,137,7.586905667267274e-06
1741003027.4215753,138,4.37781181972241e-06
1741003027.452427,139,3.4357631193415727e-06
