Wall time,Step,Value
1740764051.7252808,0,0.0005669946549460292
1740764053.1608498,1,3.113976345048286e-05
1740764054.325194,2,5.319788215274457e-06
1740764055.5356076,3,2.9854577405785676e-06
1740764056.863087,4,2.0247323391231475e-06
1740764058.1938586,5,1.690471549409267e-06
1740764059.4039488,6,1.6763475514380843e-06
1740764060.904674,7,1.3955756230643601e-06
1740764062.1669104,8,1.3455610314849764e-06
1740764063.5256402,9,1.5766694332342013e-06
1740764064.6933823,10,1.1786253253376344e-06
1740764066.1037683,11,1.239899461324967e-06
1740764067.5013735,12,1.0630665201460943e-06
1740764068.4931579,13,1.0956000551232137e-06
1740764069.8148599,14,9.916277576849097e-07
1740764070.9613194,15,9.837157222136739e-07
1740764072.0289023,16,1.0540829862293322e-06
1740764073.0472803,17,1.0156356893276097e-06
1740764074.1668148,18,8.612935857854609e-07
1740764075.495423,19,9.690238584880717e-07
1740764076.4944506,20,9.06871775896434e-07
1740764077.5420184,21,9.427093345948379e-07
1740764078.9937758,22,8.527952104486758e-07
1740764080.047519,23,9.477504931965086e-07
1740764081.215832,24,8.859859690346639e-07
1740764082.6235578,25,8.353344469469448e-07
1740764084.0332355,26,8.556572197448986e-07
1740764085.308244,27,8.672031412970682e-07
1740764086.6099334,28,8.06144100806705e-07
1740764087.6854577,29,8.892494065548817e-07
