Wall time,Step,Value
1739443484.8257742,0,0.00030113529646769166
1739443487.5773249,1,4.984575753042009e-06
1739443490.0739675,2,2.6470272587175714e-06
1739443492.5080116,3,2.3489851628255565e-06
1739443494.978227,4,2.131837163688033e-06
1739443497.4106479,5,2.158368488380802e-06
1739443499.9272645,6,1.9413591871852987e-06
1739443502.39535,7,2.00340082301409e-06
1739443504.793802,8,1.945372559930547e-06
1739443507.3521833,9,1.9843205336655956e-06
1739443510.0618591,10,2.0211209630360827e-06
1739443512.5586114,11,1.9142280507367104e-06
1739443515.19836,12,2.0174541077722097e-06
1739443517.8132384,13,1.999222604354145e-06
1739443520.390572,14,1.9235069430578733e-06
1739443522.9578822,15,1.890007979454822e-06
1739443525.8385959,16,2.0518161818472436e-06
1739443528.3978672,17,1.9164222067047376e-06
1739443531.0195138,18,1.992281795537565e-06
1739443533.5961485,19,1.9495694232318783e-06
1739443536.2524111,20,1.9957549284299603e-06
1739443538.774992,21,1.985903736567707e-06
1739443541.2391589,22,1.9499952941259835e-06
1739443543.7912533,23,1.9071140968662803e-06
1739443546.290176,24,1.9140163658448728e-06
1739443548.7541854,25,2.0620825580408564e-06
1739443551.2004633,26,1.992872284972691e-06
1739443553.7970483,27,1.9539970708137844e-06
1739443556.1803524,28,1.9587816950661363e-06
1739443558.5996418,29,1.99550845536578e-06
